classe;control;produto;ano;litros
VINHO  FINO DE MESA;vfm_Branco;  Branco;1999-01-01;20910186
VINHO  FINO DE MESA;vfm_Branco;  Branco;2000-01-01;18055443
VINHO  FINO DE MESA;vfm_Branco;  Branco;2001-01-01;15798987
VINHO  FINO DE MESA;vfm_Branco;  Branco;2002-01-01;12678829
VINHO  FINO DE MESA;vfm_Branco;  Branco;2003-01-01;10153754
VINHO  FINO DE MESA;vfm_Branco;  Branco;2004-01-01;8634273
VINHO  FINO DE MESA;vfm_Branco;  Branco;2005-01-01;8497266
VINHO  FINO DE MESA;vfm_Branco;  Branco;2006-01-01;8539514
VINHO  FINO DE MESA;vfm_Branco;  Branco;2007-01-01;7197075
VINHO  FINO DE MESA;vfm_Branco;  Branco;2008-01-01;8934001
VINHO  FINO DE MESA;vfm_Branco;  Branco;2009-01-01;13290140
VINHO  FINO DE MESA;vfm_Branco;  Branco;2010-01-01;5968959
VINHO  FINO DE MESA;vfm_Branco;  Branco;2011-01-01;4878930
VINHO  FINO DE MESA;vfm_Branco;  Branco;2012-01-01;6876128
VINHO  FINO DE MESA;vfm_Branco;  Branco;2013-01-01;8576915
VINHO  FINO DE MESA;vfm_Branco;  Branco;2014-01-01;4905826
VINHO  FINO DE MESA;vfm_Branco;  Branco;2015-01-01;4399814
VINHO  FINO DE MESA;vfm_Branco;  Branco;2016-01-01;4229293
VINHO  FINO DE MESA;vfm_Branco;  Branco;2017-01-01;3670590
VINHO  FINO DE MESA;vfm_Branco;  Branco;2018-01-01;3413196
VINHO  FINO DE MESA;vfm_Branco;  Branco;2019-01-01;3747362
VINHO  FINO DE MESA;vfm_Branco;  Branco;2020-01-01;5115133
VINHO  FINO DE MESA;vfm_Branco;  Branco;2021-01-01;6139046
VINHO  FINO DE MESA;vfm_Branco;  Branco;2022-01-01;4956314
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1970-01-01;466480
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1971-01-01;358116
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1972-01-01;356340
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1973-01-01;327865
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1974-01-01;270641
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1975-01-01;301293
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1976-01-01;248456
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1977-01-01;143575
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1978-01-01;13915
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1979-01-01;14578
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1980-01-01;9303
VINHO FRIZANTE;VINHO FRIZANTE;VINHO FRIZANTE;1981-01-01;13354
