classe;pais;ano;kg;valor
Espumantes;Bulgaria;2012-01-01;0;0
Espumantes;Bulgaria;2013-01-01;0;0
Espumantes;Bulgaria;2014-01-01;222;546
Espumantes;Bulgaria;2015-01-01;4;7
Espumantes;Bulgaria;2016-01-01;0;0
Espumantes;Bulgaria;2017-01-01;3;716
Espumantes;Bulgaria;2018-01-01;0;0
Espumantes;Bulgaria;2019-01-01;0;0
Espumantes;Canada;1971-01-01;0;0
Espumantes;Canada;1972-01-01;0;0
Espumantes;Canada;1973-01-01;0;0
Espumantes;Canada;1974-01-01;0;0
Espumantes;Canada;1975-01-01;0;0
Espumantes;Canada;1976-01-01;0;0
Espumantes;Canada;1977-01-01;0;0
Espumantes;Canada;1978-01-01;0;0
Espumantes;Canada;1979-01-01;0;0
Espumantes;Canada;1980-01-01;0;0
Espumantes;Canada;1981-01-01;0;0
Espumantes;Canada;1982-01-01;0;0
Espumantes;Canada;1983-01-01;0;0
Espumantes;Canada;1984-01-01;0;0
Espumantes;Canada;1985-01-01;0;0
Espumantes;Canada;1986-01-01;0;0
Espumantes;Canada;1987-01-01;0;0
Espumantes;Canada;1988-01-01;0;0
Espumantes;Canada;1989-01-01;0;0
Espumantes;Canada;1990-01-01;0;0
Espumantes;Canada;1991-01-01;0;0
Espumantes;Canada;1992-01-01;0;0
Espumantes;Canada;1993-01-01;0;0
Espumantes;Canada;1994-01-01;0;0
Espumantes;Canada;1995-01-01;0;0
Espumantes;Canada;1996-01-01;0;0
Espumantes;Canada;1997-01-01;0;0
Espumantes;Canada;1998-01-01;0;0
Espumantes;Canada;1999-01-01;0;0
Espumantes;Canada;2000-01-01;0;0
Espumantes;Canada;2001-01-01;0;0
Espumantes;Canada;2002-01-01;0;0
Espumantes;Canada;2003-01-01;0;0
Espumantes;Canada;2004-01-01;0;0
Espumantes;Canada;2005-01-01;0;0
Espumantes;Canada;2006-01-01;0;0
Espumantes;Canada;2007-01-01;0;0
Espumantes;Canada;2008-01-01;0;0
Espumantes;Canada;2009-01-01;0;0
Espumantes;Canada;2010-01-01;0;0
Espumantes;Canada;2011-01-01;0;0
Espumantes;Canada;2012-01-01;0;0
Espumantes;Canada;2013-01-01;0;0
Espumantes;Canada;2014-01-01;0;0
Espumantes;Canada;2015-01-01;0;0
Espumantes;Canada;2016-01-01;0;0
Espumantes;Canada;2017-01-01;0;0
Espumantes;Canada;2018-01-01;3852;109402
Espumantes;Canada;2019-01-01;0;0
Espumantes;Chile;1971-01-01;0;0
Espumantes;Chile;1972-01-01;201;192
Espumantes;Chile;1973-01-01;328;133
Espumantes;Chile;1974-01-01;180;340
Espumantes;Chile;1975-01-01;672;1140
Espumantes;Chile;1976-01-01;10980;15660
Espumantes;Chile;1977-01-01;630;1059
Espumantes;Chile;1978-01-01;45;76
Espumantes;Chile;1979-01-01;0;0
Espumantes;Chile;1980-01-01;861;1734
Espumantes;Chile;1981-01-01;18090;25350
Espumantes;Chile;1982-01-01;14865;21614
Espumantes;Chile;1983-01-01;900;1650
Espumantes;Chile;1984-01-01;4200;5500
Espumantes;Chile;1985-01-01;0;0
Espumantes;Chile;1986-01-01;900;800
Espumantes;Chile;1987-01-01;450;482
Espumantes;Chile;1988-01-01;0;0
Espumantes;Chile;1989-01-01;7449;12675
Espumantes;Chile;1990-01-01;540;1200
Espumantes;Chile;1991-01-01;10800;28600
Espumantes;Chile;1992-01-01;0;0
Espumantes;Chile;1993-01-01;1560;4860
Espumantes;Chile;1994-01-01;4590;13224
Espumantes;Chile;1995-01-01;24237;73649
Espumantes;Chile;1996-01-01;26686;37785
Espumantes;Chile;1997-01-01;2565;13680
